                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.67368,                0.15924,                0.38386,                0.23994,                    nan,                    nan,                    nan,              0.0004662,              0.0004662,              0.0004662
                      2,                    nan,                    nan,                    nan,                0.67368,                0.15924,                0.38386,                0.23994,                    nan,                    nan,                    nan,             0.00093312,             0.00093312,             0.00093312
                      3,                    nan,                    nan,                    nan,                0.67368,                0.15924,                0.38386,                0.23994,                    nan,                    nan,                    nan,              0.0013905,              0.0013905,              0.0013905
