                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1985,                 1.5695,                 1.2303,                0.95209,                0.96541,                0.98068,                0.69203,                    nan,                    nan,                    nan,             0.00047613,             0.00047613,             0.00047613
                      2,                 1.1913,                0.94075,                 1.2141,                0.95006,                0.95817,                0.96712,                0.72404,                    nan,                    nan,                    nan,             0.00093678,             0.00093678,             0.00093678
                      3,                 1.1534,                0.82746,                 1.1834,                0.98443,                0.98357,                0.98831,                0.76406,                    nan,                    nan,                    nan,              0.0013817,              0.0013817,              0.0013817
                      4,                 1.1195,                0.79249,                 1.1659,                0.98545,                 0.9895,                0.98953,                0.77037,                    nan,                    nan,                    nan,              0.0013584,              0.0013584,              0.0013584
                      5,                 1.0969,                0.73091,                 1.1537,                0.97866,                0.98274,                0.99163,                0.79024,                    nan,                    nan,                    nan,              0.0013584,              0.0013584,              0.0013584
                      6,                 1.0534,                0.68682,                 1.1255,                0.97273,                0.98164,                0.98716,                0.77376,                    nan,                    nan,                    nan,              0.0013349,              0.0013349,              0.0013349
                      7,                 1.0478,                0.66958,                 1.1177,                0.97997,                0.99123,                0.98618,                0.80058,                    nan,                    nan,                    nan,              0.0013113,              0.0013113,              0.0013113
                      8,                 1.0186,                0.63663,                 1.1067,                0.97868,                0.98669,                0.98614,                0.81012,                    nan,                    nan,                    nan,              0.0012878,              0.0012878,              0.0012878
                      9,                0.98519,                0.60695,                 1.0878,                0.98057,                0.98735,                0.99197,                0.82299,                    nan,                    nan,                    nan,              0.0012643,              0.0012643,              0.0012643
                     10,                0.98075,                0.59805,                 1.0877,                0.98696,                 0.9901,                0.99309,                0.81516,                    nan,                    nan,                    nan,              0.0012408,              0.0012408,              0.0012408
                     11,                0.96839,                0.59018,                 1.0817,                0.98572,                 0.9935,                0.98888,                0.81411,                    nan,                    nan,                    nan,              0.0012172,              0.0012172,              0.0012172
                     12,                0.95201,                 0.5721,                 1.0767,                0.98801,                0.99469,                0.99374,                0.83723,                    nan,                    nan,                    nan,              0.0011937,              0.0011937,              0.0011937
                     13,                0.93845,                0.56609,                 1.0654,                0.98987,                 0.9905,                0.99327,                 0.8348,                    nan,                    nan,                    nan,              0.0011702,              0.0011702,              0.0011702
                     14,                 0.9205,                0.54513,                 1.0578,                0.99061,                0.99277,                0.99373,                0.84134,                    nan,                    nan,                    nan,              0.0011466,              0.0011466,              0.0011466
                     15,                0.92656,                 0.5419,                 1.0621,                0.98643,                0.99327,                0.99276,                0.83158,                    nan,                    nan,                    nan,              0.0011231,              0.0011231,              0.0011231
                     16,                0.90792,                0.53314,                 1.0532,                0.97333,                0.98166,                0.99173,                0.83989,                    nan,                    nan,                    nan,              0.0010996,              0.0010996,              0.0010996
                     17,                0.90773,                0.53473,                 1.0549,                0.98566,                0.98958,                0.99244,                0.83425,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     18,                0.89726,                0.51467,                 1.0508,                0.98754,                0.99338,                0.99213,                0.83727,                    nan,                    nan,                    nan,              0.0010525,              0.0010525,              0.0010525
                     19,                0.88498,                0.50985,                  1.041,                0.99195,                0.98585,                0.99387,                0.84948,                    nan,                    nan,                    nan,               0.001029,               0.001029,               0.001029
                     20,                0.88366,                0.50173,                 1.0392,                0.98918,                0.99178,                0.99348,                0.84285,                    nan,                    nan,                    nan,              0.0010054,              0.0010054,              0.0010054
                     21,                0.87394,                0.49886,                 1.0344,                0.97674,                0.99572,                 0.9933,                0.84962,                    nan,                    nan,                    nan,             0.00098191,             0.00098191,             0.00098191
                     22,                0.86093,                0.49367,                 1.0299,                0.99114,                0.99163,                0.99468,                0.84579,                    nan,                    nan,                    nan,             0.00095838,             0.00095838,             0.00095838
                     23,                0.86421,                0.49375,                 1.0302,                0.98989,                 0.9963,                0.99469,                0.85099,                    nan,                    nan,                    nan,             0.00093485,             0.00093485,             0.00093485
                     24,                0.84948,                0.48574,                 1.0289,                0.99357,                0.99528,                0.99449,                0.85694,                    nan,                    nan,                    nan,             0.00091132,             0.00091132,             0.00091132
                     25,                0.84192,                0.47696,                  1.023,                0.99525,                0.99421,                0.99459,                0.85554,                    nan,                    nan,                    nan,             0.00088779,             0.00088779,             0.00088779
                     26,                0.83879,                 0.4718,                 1.0243,                0.98958,                0.99204,                0.99432,                0.85729,                    nan,                    nan,                    nan,             0.00086426,             0.00086426,             0.00086426
                     27,                0.82388,                0.45438,                 1.0154,                0.99107,                0.99483,                0.99467,                0.86541,                    nan,                    nan,                    nan,             0.00084073,             0.00084073,             0.00084073
                     28,                0.82483,                  0.464,                 1.0163,                0.99371,                 0.9939,                0.99458,                0.86628,                    nan,                    nan,                    nan,              0.0008172,              0.0008172,              0.0008172
                     29,                0.82142,                0.45038,                 1.0156,                0.99466,                0.99305,                0.99473,                0.86442,                    nan,                    nan,                    nan,             0.00079367,             0.00079367,             0.00079367
                     30,                0.80558,                0.44368,                 1.0047,                0.99313,                0.99016,                 0.9943,                0.86491,                    nan,                    nan,                    nan,             0.00077014,             0.00077014,             0.00077014
